update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.456197,497.157475,412.034387,484.409762,2.905552,1.440709,8.676
1,-2.664363,497.157475,412.034387,484.409762,2.865786,0.989877,2.286
2,-2.993395,497.157475,412.034387,484.409762,2.908510,2.335232,2.232
3,-4.153221,497.157475,412.034387,484.409762,2.697704,2.387799,1.910
4,-4.156156,497.157475,412.034387,484.409762,2.641506,2.505796,1.858
5,-1.821340,497.157475,412.034387,484.409762,2.664962,0.606102,1.794
6,-2.560831,497.157475,412.034387,484.409762,2.889376,2.961599,2.154
7,-2.683392,497.157475,412.034387,484.409762,2.965935,3.029237,2.259
8,-5.968216,497.157475,412.034387,484.409762,2.784696,2.185816,2.059
9,-4.468213,497.157475,412.034387,484.409762,2.655898,3.474704,1.869
10,-3.110779,497.157475,412.034387,484.409762,2.781149,1.347409,2.086
11,-3.836716,497.157475,412.034387,484.409762,2.991476,3.071635,2.447
12,-5.123809,497.157475,412.034387,484.409762,2.856381,3.509410,2.073
13,-4.421795,497.157475,412.034387,484.409762,2.694661,5.022046,2.059
14,-4.474616,497.157475,412.034387,484.409762,2.598064,1.782370,1.757
15,-3.287776,497.157475,412.034387,484.409762,2.921896,1.981719,2.428
16,-2.664387,497.157475,412.034387,484.409762,2.888610,2.074422,2.240
17,-1.570163,497.157475,412.034387,484.409762,2.707394,1.808606,1.863
18,-3.240866,497.157475,412.034387,484.409762,2.677163,2.551516,1.857
19,-3.612691,497.157475,412.034387,484.409762,2.799151,1.531874,2.136
20,-5.149240,471.561150,410.680213,577.420300,2.746624,2.111222,8.052
21,-3.176186,471.561150,410.680213,577.420300,2.895405,2.568352,2.177
22,-2.242971,471.561150,410.680213,577.420300,2.765921,1.881971,1.914
23,-3.173257,471.561150,410.680213,577.420300,2.957566,2.327317,2.280
24,-3.475731,471.561150,410.680213,577.420300,2.881457,1.444696,2.190
25,-2.516760,471.561150,410.680213,577.420300,2.875585,1.751829,2.065
26,-4.896110,471.561150,410.680213,577.420300,2.800514,2.618138,2.148
27,-2.531525,471.561150,410.680213,577.420300,2.750027,2.072004,2.064
28,-3.731282,471.561150,410.680213,577.420300,2.614502,2.134279,1.727
29,-4.667011,471.561150,410.680213,577.420300,2.638851,2.402395,1.907
30,-5.169954,471.561150,410.680213,577.420300,3.033658,2.664245,2.456
31,-4.429436,471.561150,410.680213,577.420300,2.966318,3.172044,2.195
32,-3.280992,471.561150,410.680213,577.420300,2.901774,2.301208,2.099
33,-3.017457,471.561150,410.680213,577.420300,2.587330,2.079168,1.773
34,-5.032343,471.561150,410.680213,577.420300,2.674127,2.376016,1.801
35,-3.765766,471.561150,410.680213,577.420300,2.924698,1.944569,2.171
36,-2.268070,471.561150,410.680213,577.420300,2.998180,2.004438,2.410
37,-3.713844,471.561150,410.680213,577.420300,2.677322,2.059036,2.011
38,-3.090233,471.561150,410.680213,577.420300,2.838039,2.177032,2.169
39,-3.980431,471.561150,410.680213,577.420300,2.900352,1.222713,2.298
40,-2.843432,509.059250,410.680213,567.737750,2.693958,2.679224,8.096
41,-4.897290,509.059250,410.680213,567.737750,2.909104,2.773427,2.380
42,-2.483850,509.059250,410.680213,567.737750,2.694559,2.272923,1.873
43,-2.964932,509.059250,410.680213,567.737750,2.930113,2.211402,2.357
44,-2.270182,509.059250,410.680213,567.737750,3.007252,1.372159,2.347
45,-2.046094,509.059250,410.680213,567.737750,3.131174,1.073479,2.552
46,-1.456230,509.059250,410.680213,567.737750,2.774211,1.680101,2.097
47,-5.574054,509.059250,410.680213,567.737750,3.003196,2.202699,2.220
