update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.778817,504.485850,410.680213,582.653250,1.293794,1.532016,11.093
1,-3.739415,504.485850,410.680213,582.653250,1.514101,1.039206,5.192
2,-2.114635,504.485850,410.680213,582.653250,1.307108,0.240683,4.905
3,-1.144566,504.485850,410.680213,582.653250,1.450344,0.712924,4.485
4,-1.781370,504.485850,410.680213,582.653250,1.271194,0.476326,5.031
5,-1.873767,504.485850,410.680213,582.653250,1.332780,0.825387,5.124
6,-3.654428,504.485850,410.680213,582.653250,1.498296,1.091420,4.906
7,-4.999967,504.485850,410.680213,582.653250,1.486406,2.552681,4.931
8,-4.788450,504.485850,410.680213,582.653250,1.187283,2.165871,4.354
9,-3.078106,504.485850,410.680213,582.653250,1.443561,1.533760,4.961
10,-1.926446,504.485850,410.680213,582.653250,1.757576,1.697520,5.278
11,-4.529914,504.485850,410.680213,582.653250,1.733557,2.429223,5.331
12,-2.424656,504.485850,410.680213,582.653250,1.518477,1.727814,4.780
13,-2.343499,504.485850,410.680213,582.653250,1.240583,0.765321,4.057
14,-4.068229,504.485850,410.680213,582.653250,1.210386,2.679618,4.405
15,-3.509710,504.485850,410.680213,582.653250,1.232565,1.866582,4.289
16,-2.176726,504.485850,410.680213,582.653250,1.312724,1.189033,4.514
17,-2.183784,504.485850,410.680213,582.653250,1.698229,1.703732,5.032
18,-5.312007,504.485850,410.680213,582.653250,1.349918,2.534633,4.470
19,-2.942212,504.485850,410.680213,582.653250,1.407763,2.145324,4.244
20,-4.292152,497.369688,424.819088,577.615725,1.473599,3.329685,10.562
21,-3.333878,497.369688,424.819088,577.615725,1.527432,4.769268,5.208
22,-3.869072,497.369688,424.819088,577.615725,1.379478,2.699313,4.776
23,-2.050914,497.369688,424.819088,577.615725,1.276319,1.385245,4.368
24,-4.622091,497.369688,424.819088,577.615725,1.202072,1.973927,4.748
25,-4.815311,497.369688,424.819088,577.615725,1.334040,1.914223,4.813
26,-2.095856,497.369688,424.819088,577.615725,0.962298,1.401540,4.897
27,-2.752702,497.369688,424.819088,577.615725,1.094841,1.521127,4.805
28,-2.426428,497.369688,424.819088,577.615725,1.352611,1.211229,4.934
29,-4.272408,497.369688,424.819088,577.615725,1.374204,1.692789,4.073
30,-1.219133,497.369688,424.819088,577.615725,1.072842,0.760494,4.697
31,-1.657843,497.369688,424.819088,577.615725,1.664327,0.878485,5.353
32,-4.612931,497.369688,424.819088,577.615725,1.554930,2.240914,4.780
33,-5.436791,497.369688,424.819088,577.615725,1.310983,2.798077,4.733
34,-4.053854,497.369688,424.819088,577.615725,1.605103,1.616678,4.893
35,-1.526957,497.369688,424.819088,577.615725,1.287078,1.036020,4.865
36,-1.643206,497.369688,424.819088,577.615725,0.906627,1.019509,4.731
37,-2.608374,497.369688,424.819088,577.615725,1.114928,1.339923,4.850
38,-2.233894,497.369688,424.819088,577.615725,1.169755,1.095533,4.736
39,-3.802166,497.369688,424.819088,577.615725,1.207550,1.476583,4.727
40,-3.059718,511.500200,410.930213,590.692850,1.541704,1.445601,10.250
41,-2.544323,511.500200,410.930213,590.692850,1.508345,1.403595,5.142
42,-4.411926,511.500200,410.930213,590.692850,1.421092,1.688279,4.694
43,-2.053648,511.500200,410.930213,590.692850,1.113267,1.149699,4.515
44,-3.357619,511.500200,410.930213,590.692850,1.284638,2.046520,4.553
45,-5.278231,511.500200,410.930213,590.692850,1.177522,4.375878,4.719
46,-3.634752,511.500200,410.930213,590.692850,1.250903,3.035316,4.789
47,-4.805340,511.500200,410.930213,590.692850,1.175852,2.196442,4.799
48,-1.524650,511.500200,410.930213,590.692850,1.569978,0.856757,5.042
49,-1.644300,511.500200,410.930213,590.692850,1.432528,1.078341,4.589
50,-3.891759,511.500200,410.930213,590.692850,1.051590,3.086200,4.847
51,-1.961667,511.500200,410.930213,590.692850,1.537353,1.032730,5.032
52,-1.926121,511.500200,410.930213,590.692850,1.535800,1.993069,4.911
53,-3.996136,511.500200,410.930213,590.692850,1.034672,1.931963,4.802
54,-1.879204,511.500200,410.930213,590.692850,1.401268,0.738787,4.270
55,-1.470692,511.500200,410.930213,590.692850,1.422103,0.418595,4.856
56,-1.388695,511.500200,410.930213,590.692850,1.466583,0.411758,4.851
57,-2.692637,511.500200,410.930213,590.692850,1.412161,1.474632,4.889
58,-4.339848,511.500200,410.930213,590.692850,1.289011,1.997923,4.842
59,-6.276694,511.500200,410.930213,590.692850,1.506556,2.735540,4.347
60,-2.722376,491.181888,409.559388,574.617800,1.145302,1.193871,10.697
61,-2.168887,491.181888,409.559388,574.617800,0.948059,1.071092,4.782
62,-1.990583,491.181888,409.559388,574.617800,1.418981,1.045465,5.108
63,-2.920400,491.181888,409.559388,574.617800,1.370336,1.641094,4.559
64,-3.162310,491.181888,409.559388,574.617800,1.246578,1.564809,4.614
65,-4.548142,491.181888,409.559388,574.617800,1.300051,2.071031,4.629
66,-3.613297,491.181888,409.559388,574.617800,1.119100,1.395301,4.646
67,-2.006923,491.181888,409.559388,574.617800,1.462108,0.498814,5.074
68,-1.019120,491.181888,409.559388,574.617800,1.345118,0.842316,5.017
69,-2.951005,491.181888,409.559388,574.617800,1.364684,1.044190,4.307
70,-2.505051,491.181888,409.559388,574.617800,1.315634,0.853923,5.145
71,-2.007509,491.181888,409.559388,574.617800,1.460224,0.522990,4.727
