update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-1.293138,1332.213825,1772.466872,653.552041,2.119594,0.083383,22.690
1,-1.341700,1332.213825,1772.466872,653.552041,1.820688,0.993498,2.911
2,-3.909739,1332.213825,1772.466872,653.552041,1.892531,0.334788,3.660
3,-1.640582,1332.213825,1772.466872,653.552041,1.771803,0.717224,3.250
4,-2.841005,1332.213825,1772.466872,653.552041,1.932892,0.783995,2.713
5,-2.314946,1332.213825,1772.466872,653.552041,2.011538,0.366256,2.259
6,-4.006131,1332.213825,1772.466872,653.552041,1.993844,1.551726,2.216
7,-5.221173,1332.213825,1772.466872,653.552041,1.771183,0.705686,2.058
8,-3.887765,1332.213825,1772.466872,653.552041,1.716179,1.022511,2.060
9,-2.389011,1332.213825,1772.466872,653.552041,1.819545,0.886016,2.210
10,-2.679235,1332.213825,1772.466872,653.552041,1.741314,0.445553,1.821
11,-1.238669,1332.213825,1772.466872,653.552041,1.748214,0.452995,1.913
12,-1.376121,1332.213825,1772.466872,653.552041,1.887430,0.831012,1.871
13,-3.058976,1332.213825,1772.466872,653.552041,1.908641,1.053077,2.022
14,-1.846149,1332.213825,1772.466872,653.552041,1.832725,0.254569,1.861
15,-3.236054,1332.213825,1772.466872,653.552041,1.613002,0.761167,1.654
16,-2.982837,1332.213825,1772.466872,653.552041,1.620975,1.247874,1.851
17,-7.583861,1332.213825,1772.466872,653.552041,1.874886,1.175733,2.198
18,-3.112232,1332.213825,1772.466872,653.552041,1.839748,0.939616,2.199
19,-1.242551,1332.213825,1772.466872,653.552041,2.052862,1.901108,2.146
20,-4.431348,1394.180719,1264.635875,3748.613744,1.689568,1.451821,31.372
21,-3.745243,1394.180719,1264.635875,3748.613744,1.746109,0.790470,3.953
22,-1.855211,1394.180719,1264.635875,3748.613744,1.854424,0.910248,4.049
23,-4.463081,1394.180719,1264.635875,3748.613744,1.863793,1.581031,4.530
24,-6.424915,1394.180719,1264.635875,3748.613744,2.112157,2.532158,4.543
25,-3.755166,1394.180719,1264.635875,3748.613744,2.146669,0.766229,4.613
26,-3.125065,1394.180719,1264.635875,3748.613744,1.920229,1.301594,4.466
27,-3.325228,1394.180719,1264.635875,3748.613744,1.616458,1.083627,4.088
28,-2.163709,1394.180719,1264.635875,3748.613744,1.649186,0.651220,4.108
29,-2.660232,1394.180719,1264.635875,3748.613744,1.701816,0.629578,4.164
30,-1.658133,1394.180719,1264.635875,3748.613744,1.777880,0.891073,4.250
31,-4.424174,1394.180719,1264.635875,3748.613744,1.909987,1.903325,4.631
32,-1.721537,1394.180719,1264.635875,3748.613744,1.650407,1.067077,4.050
33,-2.314780,1394.180719,1264.635875,3748.613744,1.778314,0.561127,4.321
34,-2.781742,1394.180719,1264.635875,3748.613744,1.937329,1.290756,4.408
35,-4.521637,1394.180719,1264.635875,3748.613744,2.050553,1.039524,4.680
36,-1.988131,1394.180719,1264.635875,3748.613744,1.745368,0.679838,3.118
37,-3.070263,1394.180719,1264.635875,3748.613744,1.788266,0.481306,2.160
38,-1.812508,1394.180719,1264.635875,3748.613744,1.793107,0.252942,2.237
39,-0.776868,1394.180719,1264.635875,3748.613744,1.854094,0.476630,2.588
40,-3.350333,1326.047863,996.785062,1056.540094,1.985092,0.837425,11.201
41,-3.031377,1326.047863,996.785062,1056.540094,1.892972,0.998184,2.039
42,-3.547746,1326.047863,996.785062,1056.540094,1.696908,1.322781,1.994
43,-3.223065,1326.047863,996.785062,1056.540094,1.430554,0.947085,1.554
44,-1.949100,1326.047863,996.785062,1056.540094,1.560363,0.528630,2.057
45,-2.899925,1326.047863,996.785062,1056.540094,1.771631,0.563498,1.717
46,-3.318330,1326.047863,996.785062,1056.540094,2.120452,2.033644,2.508
47,-4.002581,1326.047863,996.785062,1056.540094,1.907326,1.128564,2.196
48,-2.136803,1326.047863,996.785062,1056.540094,2.038555,1.729820,2.325
49,-3.761783,1326.047863,996.785062,1056.540094,1.891769,0.822610,2.034
50,-2.098814,1326.047863,996.785062,1056.540094,1.705966,0.668437,2.126
51,-2.866913,1326.047863,996.785062,1056.540094,1.809789,1.051026,1.971
52,-3.735575,1326.047863,996.785062,1056.540094,1.851116,1.180289,2.262
53,-2.558177,1326.047863,996.785062,1056.540094,2.106231,0.499774,2.145
54,-3.587633,1326.047863,996.785062,1056.540094,1.663320,2.191669,1.974
55,-6.053981,1326.047863,996.785062,1056.540094,1.864882,1.379406,2.460
56,-1.889424,1326.047863,996.785062,1056.540094,1.920842,1.666024,2.169
57,-3.699689,1326.047863,996.785062,1056.540094,2.068971,1.937398,2.712
58,-3.840159,1326.047863,996.785062,1056.540094,1.639556,1.464014,1.974
59,-2.845269,1326.047863,996.785062,1056.540094,1.362765,1.375691,2.040
60,-4.947123,1044.991075,950.753362,804.599019,1.748518,1.657420,10.677
61,-2.963609,1044.991075,950.753362,804.599019,1.774337,1.116378,2.400
62,-2.877155,1044.991075,950.753362,804.599019,1.558114,1.051211,2.380
63,-3.552772,1044.991075,950.753362,804.599019,2.144536,1.417890,2.696
64,-3.577684,1044.991075,950.753362,804.599019,1.866929,1.315885,2.464
65,-2.796954,1044.991075,950.753362,804.599019,2.017979,0.787503,2.628
66,-1.492199,1044.991075,950.753362,804.599019,1.971969,1.223254,2.409
67,-3.527070,1044.991075,950.753362,804.599019,1.641226,0.957454,2.099
68,-2.426384,1044.991075,950.753362,804.599019,1.656722,1.553147,2.089
69,-2.859465,1044.991075,950.753362,804.599019,1.682348,0.378575,1.954
70,-1.889811,1044.991075,950.753362,804.599019,1.580682,1.082334,1.805
71,-4.872388,1044.991075,950.753362,804.599019,1.728560,1.263640,1.698
72,-0.532398,1044.991075,950.753362,804.599019,1.847116,0.986291,2.034
73,-3.876199,1044.991075,950.753362,804.599019,1.485457,0.540306,1.659
74,-2.797150,1044.991075,950.753362,804.599019,1.814832,1.006559,2.247
75,-2.084207,1044.991075,950.753362,804.599019,1.705195,1.561508,2.157
76,-4.620489,1044.991075,950.753362,804.599019,1.652949,1.297587,1.800
77,-3.191621,1044.991075,950.753362,804.599019,1.617483,0.772319,1.974
78,-7.526104,1044.991075,950.753362,804.599019,1.943920,4.674178,2.217
79,-1.086850,1044.991075,950.753362,804.599019,1.800771,0.671680,2.223
80,-3.626023,2723.072563,2569.114988,1409.123119,1.893051,0.983147,12.670
81,-2.894389,2723.072563,2569.114988,1409.123119,1.920501,0.955810,2.058
82,-3.744247,2723.072563,2569.114988,1409.123119,1.968449,1.651771,2.521
83,-5.325881,2723.072563,2569.114988,1409.123119,1.727361,1.882039,2.271
84,-5.488454,2723.072563,2569.114988,1409.123119,1.900692,1.235674,2.504
85,-1.817486,2723.072563,2569.114988,1409.123119,1.649677,1.825499,2.468
86,-2.956651,2723.072563,2569.114988,1409.123119,2.122508,1.261573,2.832
87,-3.417010,2723.072563,2569.114988,1409.123119,1.620885,0.965964,2.197
88,-3.119503,2723.072563,2569.114988,1409.123119,1.859841,1.290704,2.124
89,-1.925559,2723.072563,2569.114988,1409.123119,1.885367,1.294660,2.205
90,-1.730669,2723.072563,2569.114988,1409.123119,2.145493,0.669535,2.554
91,-4.326565,2723.072563,2569.114988,1409.123119,1.856580,1.569170,2.642
92,-3.326096,2723.072563,2569.114988,1409.123119,2.109370,1.196119,2.674
93,-4.149098,2723.072563,2569.114988,1409.123119,1.751713,0.772184,2.090
94,-3.900302,2723.072563,2569.114988,1409.123119,1.718300,1.289081,2.339
95,-3.911675,2723.072563,2569.114988,1409.123119,2.006458,2.479739,2.802
96,-3.753193,2723.072563,2569.114988,1409.123119,1.971635,1.654661,2.288
97,-3.817327,2723.072563,2569.114988,1409.123119,2.034079,0.656694,2.403
98,-1.812241,2723.072563,2569.114988,1409.123119,2.110281,0.716890,2.819
99,-2.898641,2723.072563,2569.114988,1409.123119,2.103672,1.436588,2.899
100,-3.565159,2441.991175,2910.418787,860.540437,1.749984,0.593693,13.263
101,-1.767197,2441.991175,2910.418787,860.540437,1.830931,1.440714,2.274
102,-3.835458,2441.991175,2910.418787,860.540437,1.680779,0.901060,2.181
103,-3.822071,2441.991175,2910.418787,860.540437,2.209046,0.759825,2.890
104,-2.112630,2441.991175,2910.418787,860.540437,2.017590,1.177705,2.164
105,-3.503328,2441.991175,2910.418787,860.540437,1.645414,0.429229,2.112
106,-4.118031,2441.991175,2910.418787,860.540437,1.778625,0.931120,2.509
107,-5.349844,2441.991175,2910.418787,860.540437,1.679900,1.081804,2.249
108,-3.264988,2441.991175,2910.418787,860.540437,1.746463,0.620887,2.280
109,-2.675296,2441.991175,2910.418787,860.540437,1.749497,0.838105,2.363
110,-2.052800,2441.991175,2910.418787,860.540437,1.592311,1.044857,2.137
111,-3.053571,2441.991175,2910.418787,860.540437,1.938465,0.236422,2.659
112,-2.242053,2441.991175,2910.418787,860.540437,1.838879,0.396836,2.611
113,-2.786883,2441.991175,2910.418787,860.540437,1.778574,1.314645,2.368
114,-5.809152,2441.991175,2910.418787,860.540437,1.925913,0.944023,2.679
115,-2.984360,2441.991175,2910.418787,860.540437,1.670420,1.046925,2.136
