update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.884119,479.402375,411.159388,537.232000,1.811482,1.248924,352.686
1,-3.655486,479.402375,411.159388,537.232000,1.594885,2.203253,20.443
2,-3.835790,479.402375,411.159388,537.232000,1.642287,0.608083,18.936
3,-2.953653,479.402375,411.159388,537.232000,1.981832,0.919168,16.321
4,-1.785092,479.402375,411.159388,537.232000,1.625364,1.501682,11.425
5,-6.099043,479.402375,411.159388,537.232000,1.872970,3.452683,21.637
6,-3.702106,479.402375,411.159388,537.232000,1.303509,1.489474,13.085
7,-2.289102,479.402375,411.159388,537.232000,1.961386,1.127115,19.381
8,-3.600147,479.402375,411.159388,537.232000,1.700554,2.993329,17.915
9,-4.197335,479.402375,411.159388,537.232000,1.498749,2.291752,18.392
10,-2.352150,479.402375,411.159388,537.232000,1.843488,1.634077,12.785
11,-4.391794,479.402375,411.159388,537.232000,2.073092,2.035368,22.040
12,-3.884665,479.402375,411.159388,537.232000,1.361638,2.750870,14.505
13,-2.540463,479.402375,411.159388,537.232000,1.572627,2.114490,15.759
14,-2.511222,479.402375,411.159388,537.232000,1.745735,2.616583,7.643
15,-6.265164,479.402375,411.159388,537.232000,1.743296,2.989419,18.752
16,-2.339914,479.402375,411.159388,537.232000,1.818159,1.829106,19.170
17,-3.681217,479.402375,411.159388,537.232000,1.893541,1.971791,19.835
18,-4.490038,479.402375,411.159388,537.232000,1.782948,1.962187,14.580
19,-3.238863,479.402375,411.159388,537.232000,1.858821,1.861576,23.740
20,-2.528825,500.464263,410.680213,519.959750,1.660943,2.039723,283.684
21,-5.363588,500.464263,410.680213,519.959750,1.499426,2.871992,17.536
22,-4.801424,500.464263,410.680213,519.959750,1.629956,1.060472,21.672
23,-1.057017,500.464263,410.680213,519.959750,1.812785,0.975817,16.006
24,-2.730586,500.464263,410.680213,519.959750,1.601366,0.972844,16.161
25,-2.959396,500.464263,410.680213,519.959750,1.926327,1.119124,12.402
26,-1.435307,500.464263,410.680213,519.959750,1.572427,1.041911,16.670
27,-3.375898,500.464263,410.680213,519.959750,1.431804,1.057663,12.865
28,-2.368290,500.464263,410.680213,519.959750,1.311145,1.208941,8.416
29,-4.706539,500.464263,410.680213,519.959750,1.542798,2.512463,15.152
30,-2.797311,500.464263,410.680213,519.959750,1.770940,0.888843,19.334
31,-3.313211,500.464263,410.680213,519.959750,1.611272,0.739716,14.285
32,-3.191416,500.464263,410.680213,519.959750,1.816495,1.688954,15.487
33,-2.917991,500.464263,410.680213,519.959750,1.529584,2.048631,10.589
34,-3.402688,500.464263,410.680213,519.959750,1.473029,1.126909,13.276
35,-2.067872,500.464263,410.680213,519.959750,1.473484,1.261659,19.070
36,-4.016387,500.464263,410.680213,519.959750,1.299868,1.426513,16.104
37,-2.977335,500.464263,410.680213,519.959750,1.420834,1.228164,12.097
38,-3.181081,500.464263,410.680213,519.959750,1.370567,1.571232,15.538
39,-2.711794,500.464263,410.680213,519.959750,1.837683,1.252086,16.412
40,-5.112308,472.916800,410.680213,521.001400,2.032328,2.160738,111.765
41,-2.728361,472.916800,410.680213,521.001400,1.672906,1.653861,8.743
42,-4.615234,472.916800,410.680213,521.001400,2.006341,1.559480,9.077
43,-4.103572,472.916800,410.680213,521.001400,1.675821,1.943382,7.703
44,-4.833439,472.916800,410.680213,521.001400,1.289981,2.392222,7.921
45,-2.825379,472.916800,410.680213,521.001400,1.675640,1.258400,10.061
46,-2.950506,472.916800,410.680213,521.001400,1.377706,0.919305,11.694
47,-3.206076,472.916800,410.680213,521.001400,1.440090,0.799758,11.393
48,-3.412940,472.916800,410.680213,521.001400,1.554772,4.706052,9.788
49,-3.004348,472.916800,410.680213,521.001400,1.286559,1.032324,8.731
50,-6.057355,472.916800,410.680213,521.001400,1.794995,7.858328,11.917
51,-5.223505,472.916800,410.680213,521.001400,1.827318,2.258553,8.300
52,-4.152239,472.916800,410.680213,521.001400,1.494870,1.804624,12.450
53,-2.673374,472.916800,410.680213,521.001400,1.545527,2.772266,12.064
54,-4.984785,472.916800,410.680213,521.001400,1.781144,2.632683,12.563
55,-2.189945,472.916800,410.680213,521.001400,1.559582,2.544055,12.624
56,-3.779055,472.916800,410.680213,521.001400,1.732755,1.633202,10.647
57,-4.226662,472.916800,410.680213,521.001400,1.614837,1.811556,8.557
58,-3.402281,472.916800,410.680213,521.001400,1.589220,2.493864,10.550
59,-3.461190,472.916800,410.680213,521.001400,1.591546,2.105820,11.841
60,-3.228401,452.476625,410.680213,507.403800,1.875399,4.406448,98.029
61,-3.430584,452.476625,410.680213,507.403800,1.912737,1.061493,12.385
62,-1.495858,452.476625,410.680213,507.403800,1.624824,1.649766,13.142
63,-3.165205,452.476625,410.680213,507.403800,1.583178,1.324427,6.889
64,-1.103197,452.476625,410.680213,507.403800,1.678127,1.215538,8.385
65,-5.513143,452.476625,410.680213,507.403800,1.959750,2.386486,11.370
66,-7.606297,452.476625,410.680213,507.403800,1.655223,5.426432,13.715
67,-4.151233,452.476625,410.680213,507.403800,1.478564,2.238117,10.153
