update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-1.900930,516.896888,422.269450,517.137412,1.879181,0.535062,138.678
1,-1.749469,516.896888,422.269450,517.137412,1.457013,0.898772,15.370
2,-2.842680,516.896888,422.269450,517.137412,1.655805,1.398711,7.257
3,-2.100807,516.896888,422.269450,517.137412,1.544281,0.785699,14.041
4,-3.372426,516.896888,422.269450,517.137412,1.515774,1.125521,11.458
5,-1.777377,516.896888,422.269450,517.137412,2.033207,0.867651,11.653
6,-4.563326,516.896888,422.269450,517.137412,1.614229,2.047456,12.219
7,-1.187016,516.896888,422.269450,517.137412,1.624532,0.863960,12.947
8,-3.579979,516.896888,422.269450,517.137412,1.346463,2.217713,8.777
9,-3.671674,516.896888,422.269450,517.137412,1.716607,1.891220,11.756
10,-2.718558,516.896888,422.269450,517.137412,1.640664,0.920028,10.782
11,-1.792625,516.896888,422.269450,517.137412,1.603921,1.124780,12.553
12,-2.770958,516.896888,422.269450,517.137412,1.654308,4.395617,12.095
13,-3.913734,516.896888,422.269450,517.137412,1.580207,2.083472,8.848
14,-3.583397,516.896888,422.269450,517.137412,1.646616,1.225297,9.035
15,-0.840828,516.896888,422.269450,517.137412,1.720105,0.769008,12.810
16,-2.995242,516.896888,422.269450,517.137412,1.420137,1.102139,11.006
17,-4.564470,516.896888,422.269450,517.137412,1.268542,2.266476,9.261
18,-2.497338,516.896888,422.269450,517.137412,1.478213,1.134006,12.351
19,-4.700364,516.896888,422.269450,517.137412,1.717688,5.246975,11.204
20,-3.918114,535.725000,410.760413,593.687563,1.705698,1.858525,132.647
21,-1.437693,535.725000,410.760413,593.687563,1.553570,0.500798,13.352
22,-3.873947,535.725000,410.760413,593.687563,1.381619,1.638236,10.165
23,-3.032022,535.725000,410.760413,593.687563,1.657624,1.204973,15.992
24,-2.606720,535.725000,410.760413,593.687563,1.759954,2.375110,9.715
25,-5.822172,535.725000,410.760413,593.687563,1.810412,4.067119,12.666
26,-6.324116,535.725000,410.760413,593.687563,1.981557,2.260214,20.343
27,-2.959372,535.725000,410.760413,593.687563,2.213033,1.493168,11.837
28,-1.892726,535.725000,410.760413,593.687563,1.635497,1.496241,8.590
29,-2.853952,535.725000,410.760413,593.687563,1.265771,1.860695,10.133
30,-2.730917,535.725000,410.760413,593.687563,1.606627,1.457445,13.183
31,-1.325307,535.725000,410.760413,593.687563,1.764388,0.500191,12.773
32,-1.086089,535.725000,410.760413,593.687563,1.622732,1.788869,9.812
33,-3.031043,535.725000,410.760413,593.687563,1.761814,1.108293,11.930
34,-2.799739,535.725000,410.760413,593.687563,1.822709,0.865852,11.217
35,-1.716076,535.725000,410.760413,593.687563,1.330971,1.659310,13.413
36,-5.972948,535.725000,410.760413,593.687563,1.446935,1.771411,11.486
37,-4.055577,535.725000,410.760413,593.687563,1.693487,2.041041,12.006
38,-3.976621,535.725000,410.760413,593.687563,1.923143,2.971486,12.635
39,-4.572069,535.725000,410.760413,593.687563,1.402728,1.828408,9.546
40,-4.510033,533.537850,410.260413,595.966450,1.669514,1.376629,128.633
41,-2.193935,533.537850,410.260413,595.966450,1.796072,1.512224,16.665
42,-4.163998,533.537850,410.260413,595.966450,1.888601,3.067282,19.099
