campus,trade,crew,p95_weekly_hours,rows
1,B20,3,85.16,750
1,C10,6,205.87,4452
1,C30,8,285.94,2768
1,D20,19,724.32,17342
1,D30,26,1000.05,17261
1,D40,12,449.3,9560
1,D50,15,594.27,18538
1,D90,8,304.52,1403
1,E10,4,133.71,1257
1,E20,3,92.7,835
1,MISC,6,235.93,1694
2,C10,3,110.54,54
2,D20,8,290.0,358
2,D30,9,329.87,607
2,D40,4,127.83,77
2,D50,5,183.41,233
2,E10,6,202.43,449
2,MISC,10,382.51,260
5,B20,5,175.0,9362
5,B30,31,1208.18,8051
5,C10,3,98.1,22435
5,C30,5,196.25,5417
5,D20,30,1188.78,90814
5,D30,77,3073.8,135133
5,D40,3,115.99,30851
5,D50,11,419.96,17891
5,E10,2,78.26,6877
5,E20,7,244.7,2419
5,MISC,3,104.77,929
9,B20,3,89.62,1231
9,B30,6,224.3,1333
9,C10,3,96.75,4567
9,C30,8,284.64,2193
9,D10,2,42.54,1076
9,D20,15,572.75,14755
9,D30,31,1207.0,25379
9,D40,9,348.66,5332
9,D50,16,603.83,29238
9,D90,10,363.92,4422
9,E10,7,244.04,2447
9,E20,2,43.66,938
9,MISC,7,245.56,937
10,B20,4,128.5,4156
10,B30,2,63.16,526
10,C10,6,225.37,5447
10,C30,5,194.89,2350
10,D20,20,775.62,25056
10,D30,40,1564.74,62247
10,D40,64,2532.85,9527
10,D50,23,893.26,81949
10,D90,5,171.58,3034
10,E10,6,213.5,7031
10,E20,2,64.37,570
10,MISC,3,89.15,396
10,UNK,3,93.46,351
12,B20,9,335.35,1432
12,B30,7,250.58,299
12,C10,12,448.42,5579
12,C30,16,612.02,1255
12,D20,31,1218.32,6177
12,D30,45,1777.42,6895
12,D40,8,318.16,704
12,D50,25,998.76,5848
12,D90,15,573.56,832
12,E10,8,314.3,1771
12,E20,10,386.92,2296
12,MISC,15,564.95,800
12,UNK,6,208.74,268
