campus,trade,crew,p95_weekly_hours,rows
1,B20,4,122.15,750
1,C10,8,313.49,4452
1,C30,9,326.07,2768
1,D20,23,893.38,17342
1,D30,30,1199.53,17261
1,D40,13,486.08,9560
1,D50,18,713.62,18538
1,D90,9,353.55,1403
1,E10,5,161.54,1257
1,E20,3,117.46,835
1,MISC,7,275.8,1694
2,C10,4,128.26,54
2,D20,13,487.56,358
2,D30,12,463.4,607
2,D40,4,138.51,77
2,D50,8,299.92,233
2,E10,6,235.96,449
2,MISC,17,659.56,260
5,B20,8,300.85,9362
5,B30,70,2764.24,8051
5,C10,6,228.44,22435
5,C30,6,221.3,5417
5,D20,48,1913.46,90814
5,D30,127,5063.98,135133
5,D40,42,1679.05,30851
5,D50,17,671.61,17891
5,E10,3,99.0,6877
5,E20,10,397.11,2419
5,MISC,5,179.52,929
9,B20,3,104.13,1231
9,B30,9,353.16,1333
9,C10,4,157.42,4567
9,C30,9,325.88,2193
9,D10,2,63.58,1076
9,D20,16,627.3,14755
9,D30,33,1311.35,25379
9,D40,11,404.89,5332
9,D50,18,681.26,29238
9,D90,12,453.59,4422
9,E10,8,302.76,2447
9,E20,2,44.75,938
9,MISC,11,417.36,937
10,B20,4,147.46,4156
10,B30,3,105.48,526
10,C10,6,237.96,5447
10,C30,6,204.9,2350
10,D20,21,816.1,25056
10,D30,43,1707.8,62247
10,D40,77,3051.69,9527
10,D50,24,947.21,81949
10,D90,5,196.77,3034
10,E10,7,243.34,7031
10,E20,3,96.15,570
10,MISC,3,100.56,396
10,UNK,3,115.5,351
12,B20,10,362.24,1432
12,B30,7,265.93,299
12,C10,13,485.43,5579
12,C30,18,713.69,1255
12,D20,32,1257.43,6177
12,D30,46,1804.01,6895
12,D40,9,343.14,704
12,D50,28,1109.17,5848
12,D90,18,713.34,832
12,E10,9,336.57,1771
12,E20,12,451.36,2296
12,MISC,20,774.61,800
12,UNK,6,229.8,268
