update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.402405,513.893538,423.402087,484.808763,1.817604,0.791225,316.457
1,-2.545801,513.893538,423.402087,484.808763,1.487735,1.084812,16.601
2,-4.160447,513.893538,423.402087,484.808763,1.347172,2.079064,20.164
3,-4.354802,513.893538,423.402087,484.808763,1.673295,1.056894,20.199
4,-2.443276,513.893538,423.402087,484.808763,1.592074,1.140277,17.007
5,-2.479648,513.893538,423.402087,484.808763,1.576718,0.504455,16.298
6,-2.403688,513.893538,423.402087,484.808763,1.744301,0.806416,20.237
7,-2.827952,513.893538,423.402087,484.808763,1.433812,1.917718,13.528
8,-4.560027,513.893538,423.402087,484.808763,1.441318,1.367258,12.926
9,-2.475631,513.893538,423.402087,484.808763,1.402565,1.087171,20.031
10,-3.074350,513.893538,423.402087,484.808763,1.489376,0.731062,25.147
11,-2.756285,513.893538,423.402087,484.808763,1.987640,1.069896,22.541
12,-3.911342,513.893538,423.402087,484.808763,1.291824,2.108586,14.617
13,-4.906224,513.893538,423.402087,484.808763,1.163978,1.446117,15.393
14,-3.030711,513.893538,423.402087,484.808763,1.500820,1.335901,14.059
15,-2.280588,513.893538,423.402087,484.808763,1.651849,1.751604,18.184
16,-4.519898,513.893538,423.402087,484.808763,1.862863,1.511836,18.221
17,-3.457412,513.893538,423.402087,484.808763,1.858612,2.662041,19.452
18,-4.220333,513.893538,423.402087,484.808763,1.704603,1.887177,19.025
19,-5.911690,513.893538,423.402087,484.808763,1.558742,4.859302,16.978
20,-3.728159,466.190425,412.863200,489.181625,1.602310,1.668283,302.192
21,-0.783784,466.190425,412.863200,489.181625,1.914261,0.862488,25.695
22,-3.355988,466.190425,412.863200,489.181625,1.820603,1.891937,22.019
23,-3.087906,466.190425,412.863200,489.181625,1.669589,1.277917,18.525
24,-3.126539,466.190425,412.863200,489.181625,1.597944,1.486739,19.741
25,-1.453135,466.190425,412.863200,489.181625,1.561036,1.252573,24.709
26,-2.957129,466.190425,412.863200,489.181625,1.642416,1.563538,16.973
27,-4.291442,466.190425,412.863200,489.181625,1.380854,4.032126,12.373
28,-3.041781,466.190425,412.863200,489.181625,1.619453,1.470092,16.734
29,-2.819422,466.190425,412.863200,489.181625,1.640984,0.987066,11.840
30,-1.446278,466.190425,412.863200,489.181625,1.849386,0.546311,21.272
31,-2.721117,466.190425,412.863200,489.181625,1.689983,1.675036,17.346
32,-4.141200,466.190425,412.863200,489.181625,1.954252,1.530172,25.878
33,-2.492419,466.190425,412.863200,489.181625,1.750470,1.518895,23.731
34,-4.052995,466.190425,412.863200,489.181625,1.945096,0.754276,20.170
35,-2.018942,466.190425,412.863200,489.181625,2.184741,1.671689,16.096
36,-2.334173,466.190425,412.863200,489.181625,1.926734,0.969438,22.027
37,-1.337751,466.190425,412.863200,489.181625,1.476271,3.688328,19.362
38,-5.907587,466.190425,412.863200,489.181625,1.965283,2.204717,19.065
39,-2.877467,466.190425,412.863200,489.181625,1.903041,1.653619,21.299
40,-3.265767,464.402713,413.738200,472.047338,1.500637,1.142798,301.381
41,-4.175313,464.402713,413.738200,472.047338,2.020213,2.421987,20.427
42,-4.056881,464.402713,413.738200,472.047338,2.147650,1.471268,15.229
43,-1.783722,464.402713,413.738200,472.047338,1.782692,1.407997,16.458
44,-1.722076,464.402713,413.738200,472.047338,1.352870,1.193156,16.048
45,-2.750812,464.402713,413.738200,472.047338,1.440397,1.359184,17.480
46,-1.892390,464.402713,413.738200,472.047338,1.494755,0.986462,17.537
47,-2.856026,464.402713,413.738200,472.047338,1.666717,1.085979,18.241
48,-3.923041,464.402713,413.738200,472.047338,1.823114,1.285858,18.255
49,-1.995482,464.402713,413.738200,472.047338,1.799555,0.552875,12.462
50,-4.047861,464.402713,413.738200,472.047338,1.728138,2.544825,22.732
51,-3.224953,464.402713,413.738200,472.047338,1.418692,1.648958,16.859
52,-4.470206,464.402713,413.738200,472.047338,1.932138,2.152084,23.965
53,-4.781591,464.402713,413.738200,472.047338,1.912864,2.041405,17.405
54,-3.728792,464.402713,413.738200,472.047338,1.628414,2.421888,13.396
55,-3.759493,464.402713,413.738200,472.047338,1.598636,1.180530,26.060
56,-2.247178,464.402713,413.738200,472.047338,1.591471,1.108151,17.477
57,-2.833620,464.402713,413.738200,472.047338,1.660324,1.654927,19.121
58,-3.436429,464.402713,413.738200,472.047338,1.378276,2.130437,21.466
59,-3.151741,464.402713,413.738200,472.047338,1.577275,1.452194,26.843
60,-2.514290,442.593887,410.496888,491.686381,1.594567,0.899545,301.951
61,-1.316616,442.593887,410.496888,491.686381,1.800519,1.400509,16.783
62,-4.177100,442.593887,410.496888,491.686381,1.765443,0.750666,19.622
63,-4.284520,442.593887,410.496888,491.686381,1.795153,2.063109,21.719
64,-2.776727,442.593887,410.496888,491.686381,1.669320,1.902272,26.918
65,-5.159691,442.593887,410.496888,491.686381,1.598008,2.026429,21.800
66,-3.514563,442.593887,410.496888,491.686381,1.671067,2.416080,24.639
67,-3.838651,442.593887,410.496888,491.686381,1.864328,1.471500,20.455
68,-2.980832,442.593887,410.496888,491.686381,1.824520,1.747667,21.013
69,-5.186776,442.593887,410.496888,491.686381,1.540809,2.870017,15.433
70,-4.890127,442.593887,410.496888,491.686381,1.162041,1.706228,18.024
71,-2.664999,442.593887,410.496888,491.686381,1.509285,1.366218,20.874
72,-2.487124,442.593887,410.496888,491.686381,1.616745,1.182147,15.285
