update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-3.001367,577.435213,424.179450,599.859675,3.280304,1.662452,10.807
1,-4.249309,577.435213,424.179450,599.859675,2.863864,2.519666,4.221
2,-4.202295,577.435213,424.179450,599.859675,2.779698,2.942619,4.205
3,-3.688107,577.435213,424.179450,599.859675,2.764744,1.826104,4.133
4,-2.065607,577.435213,424.179450,599.859675,2.648029,0.788341,3.819
5,-3.471516,577.435213,424.179450,599.859675,2.760896,1.302102,4.242
6,-2.309195,577.435213,424.179450,599.859675,2.718838,1.223132,4.225
7,-2.542112,577.435213,424.179450,599.859675,2.784131,1.544924,4.142
8,-2.995484,577.435213,424.179450,599.859675,2.838966,7.832278,4.143
9,-3.814456,577.435213,424.179450,599.859675,2.623133,2.083287,4.158
10,-2.942531,577.435213,424.179450,599.859675,2.765187,1.238419,3.981
11,-4.946740,577.435213,424.179450,599.859675,2.756015,1.740562,4.210
12,-2.752697,577.435213,424.179450,599.859675,2.863810,0.747867,4.084
13,-1.759353,577.435213,424.179450,599.859675,2.935561,2.071287,4.115
14,-3.391520,577.435213,424.179450,599.859675,2.752714,2.414897,4.123
15,-3.606946,577.435213,424.179450,599.859675,2.874726,1.241140,4.093
16,-3.370149,577.435213,424.179450,599.859675,2.538191,4.605945,4.028
17,-3.735439,577.435213,424.179450,599.859675,2.874029,1.327020,4.143
18,-3.906829,577.435213,424.179450,599.859675,2.793780,1.457703,4.141
19,-1.380200,577.435213,424.179450,599.859675,2.851012,0.685370,4.012
20,-2.425235,536.762675,410.523963,594.110425,2.688260,1.438967,9.923
21,-5.556561,536.762675,410.523963,594.110425,2.798334,2.363052,4.092
22,-3.509645,536.762675,410.523963,594.110425,2.474283,1.747055,3.827
23,-2.123821,536.762675,410.523963,594.110425,2.797633,1.255522,3.728
24,-2.311057,536.762675,410.523963,594.110425,2.568786,1.113686,3.886
25,-1.910670,536.762675,410.523963,594.110425,2.766932,1.162332,3.944
26,-1.471366,536.762675,410.523963,594.110425,3.023662,0.892253,4.163
