update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-2.029499,465.445025,424.838200,503.399144,1.453673,0.671727,11.121
1,-2.761777,465.445025,424.838200,503.399144,1.144436,3.282915,4.324
2,-5.819469,465.445025,424.838200,503.399144,1.502894,1.545007,4.530
3,-4.016434,465.445025,424.838200,503.399144,1.499988,2.309509,4.930
4,-3.715683,465.445025,424.838200,503.399144,1.446976,1.465122,4.737
5,-2.987034,465.445025,424.838200,503.399144,1.453923,2.524529,4.862
6,-4.240816,465.445025,424.838200,503.399144,1.029270,2.281855,4.768
7,-5.033279,465.445025,424.838200,503.399144,1.226750,2.062304,4.861
8,-2.768214,465.445025,424.838200,503.399144,1.305872,1.189892,4.560
9,-4.265427,465.445025,424.838200,503.399144,1.453503,6.008703,5.004
10,-3.895526,465.445025,424.838200,503.399144,1.667854,0.598206,5.392
11,-2.011980,465.445025,424.838200,503.399144,1.357344,1.615156,4.843
12,-2.370464,465.445025,424.838200,503.399144,1.419653,0.898844,4.864
13,-5.180128,465.445025,424.838200,503.399144,1.340326,2.864760,4.689
14,-2.748843,465.445025,424.838200,503.399144,1.515672,1.832816,5.021
15,-2.634646,465.445025,424.838200,503.399144,1.326187,1.258172,4.913
16,-4.401412,465.445025,424.838200,503.399144,1.215126,2.432646,4.876
17,-4.707005,465.445025,424.838200,503.399144,1.258896,1.285050,4.928
18,-3.136114,465.445025,424.838200,503.399144,1.578566,1.240372,4.627
19,-2.328546,465.445025,424.838200,503.399144,1.034948,1.680842,4.641
20,-2.857966,490.245638,419.885700,535.964419,1.339100,1.026884,11.216
21,-2.588278,490.245638,419.885700,535.964419,1.352173,2.817302,4.506
22,-3.882600,490.245638,419.885700,535.964419,1.465413,1.960004,4.534
23,-3.847867,490.245638,419.885700,535.964419,1.062131,2.611753,4.821
24,-3.473976,490.245638,419.885700,535.964419,1.550489,1.261367,5.210
25,-2.736590,490.245638,419.885700,535.964419,1.173601,1.617172,4.648
26,-2.964089,490.245638,419.885700,535.964419,0.970769,1.585442,4.745
27,-4.465001,490.245638,419.885700,535.964419,1.150317,2.505765,4.372
28,-5.303372,490.245638,419.885700,535.964419,1.360855,3.364372,4.657
29,-2.889900,490.245638,419.885700,535.964419,1.309155,2.195459,4.829
30,-3.275850,490.245638,419.885700,535.964419,1.468281,1.237089,5.195
31,-2.368652,490.245638,419.885700,535.964419,1.426937,1.247272,4.837
32,-4.854439,490.245638,419.885700,535.964419,1.429753,1.783781,4.566
33,-2.834060,490.245638,419.885700,535.964419,1.066109,1.120179,4.892
34,-2.928237,490.245638,419.885700,535.964419,1.470233,1.818091,5.007
35,-3.475843,490.245638,419.885700,535.964419,1.117065,2.596251,4.728
36,-3.381227,490.245638,419.885700,535.964419,1.104777,0.718039,4.693
37,-2.070589,490.245638,419.885700,535.964419,1.338540,0.891526,4.322
38,-4.450080,490.245638,419.885700,535.964419,0.945013,1.581424,4.623
39,-2.894134,490.245638,419.885700,535.964419,1.177130,1.525007,4.766
40,-2.236859,536.500963,425.806738,551.169119,1.293440,1.332695,11.088
41,-4.947715,536.500963,425.806738,551.169119,1.132712,2.734371,4.472
42,-2.842883,536.500963,425.806738,551.169119,1.319123,1.931631,4.762
43,-2.531525,536.500963,425.806738,551.169119,1.447606,1.827266,5.021
44,-3.719472,536.500963,425.806738,551.169119,1.387439,2.261266,4.980
45,-3.235010,536.500963,425.806738,551.169119,1.210298,0.913170,4.709
46,-1.949309,536.500963,425.806738,551.169119,1.418786,1.090358,4.950
47,-4.467071,536.500963,425.806738,551.169119,1.310636,4.449001,4.837
48,-2.336573,536.500963,425.806738,551.169119,1.469969,2.566910,4.714
49,-3.877457,536.500963,425.806738,551.169119,1.202209,2.017468,4.920
50,-1.747620,536.500963,425.806738,551.169119,1.702087,1.387150,5.281
51,-6.834197,536.500963,425.806738,551.169119,1.185157,3.609452,4.496
52,-3.154652,536.500963,425.806738,551.169119,1.260354,1.594011,4.736
53,-2.081123,536.500963,425.806738,551.169119,1.282270,1.353460,4.820
54,-3.553945,536.500963,425.806738,551.169119,1.400228,1.472082,4.956
55,-1.260274,536.500963,425.806738,551.169119,1.114061,0.584632,5.137
56,-1.731157,536.500963,425.806738,551.169119,1.281681,0.565871,4.895
57,-3.679690,536.500963,425.806738,551.169119,1.499765,1.211162,4.966
58,-2.820759,536.500963,425.806738,551.169119,1.456336,1.016788,4.951
59,-4.129084,536.500963,425.806738,551.169119,1.534147,1.877729,5.236
60,-2.542683,477.347788,409.496888,592.216288,1.361433,1.096213,10.503
61,-1.723233,477.347788,409.496888,592.216288,1.314019,1.156853,4.583
62,-2.499193,477.347788,409.496888,592.216288,1.451057,1.048556,4.629
