y1_id,campus,size,m,rule,wwt_v2,wwt_v2_natural_random
c05_replay_150_0100_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0100_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0100_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0100_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0100_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0100_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0102_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0102_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0102_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0102_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0102_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0102_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0100_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0100_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0100_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0100_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0100_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0100_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0100,5,150,1.0,edd,0.0,
c05_replay_150_0100,5,150,1.0,wspt,0.0,
c05_replay_150_0100,5,150,1.0,atc,0.0,
c05_replay_150_0100,5,150,1.0,pfifo,0.0,
c05_replay_150_0100,5,150,1.0,mor,0.0,
c05_replay_150_0100,5,150,1.0,random,0.0,0.0
c05_replay_150_0102_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0102_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0102_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0102_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0102_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0102_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0102,5,150,1.0,edd,0.0,
c05_replay_150_0102,5,150,1.0,wspt,0.0,
c05_replay_150_0102,5,150,1.0,atc,0.0,
c05_replay_150_0102,5,150,1.0,pfifo,0.0,
c05_replay_150_0102,5,150,1.0,mor,0.0,
c05_replay_150_0102,5,150,1.0,random,0.0,0.0
c05_replay_150_0103,5,150,1.0,edd,43.45920000000001,
c05_replay_150_0103,5,150,1.0,wspt,43.45920000000001,
c05_replay_150_0103,5,150,1.0,atc,43.45920000000001,
c05_replay_150_0103,5,150,1.0,pfifo,43.45920000000001,
c05_replay_150_0103,5,150,1.0,mor,43.45920000000001,
c05_replay_150_0103,5,150,1.0,random,43.45920000000001,43.45920000000001
c05_replay_150_0101_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0101_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0101_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0101_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0101_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0101_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0101_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0101_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0101_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0101_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0101_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0101_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0101,5,150,1.0,edd,0.0,
c05_replay_150_0101,5,150,1.0,wspt,0.0,
c05_replay_150_0101,5,150,1.0,atc,0.0,
c05_replay_150_0101,5,150,1.0,pfifo,0.0,
c05_replay_150_0101,5,150,1.0,mor,0.0,
c05_replay_150_0101,5,150,1.0,random,0.0,0.0
c05_replay_150_0105_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0105_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0105_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0105_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0105_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0105_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0104_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0104_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0104_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0104_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0104_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0104_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0105_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0105_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0105_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0105_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0105_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0105_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0105,5,150,1.0,edd,0.0,
c05_replay_150_0105,5,150,1.0,wspt,0.0,
c05_replay_150_0105,5,150,1.0,atc,0.0,
c05_replay_150_0105,5,150,1.0,pfifo,0.0,
c05_replay_150_0105,5,150,1.0,mor,0.0,
c05_replay_150_0105,5,150,1.0,random,0.0,0.0
c05_replay_150_0103_m0.6,5,150,0.6,edd,44.46300000000002,
c05_replay_150_0103_m0.6,5,150,0.6,wspt,43.793000000000006,
c05_replay_150_0103_m0.6,5,150,0.6,atc,43.793000000000006,
c05_replay_150_0103_m0.6,5,150,0.6,pfifo,44.46300000000002,
c05_replay_150_0103_m0.6,5,150,0.6,mor,43.793000000000006,
c05_replay_150_0103_m0.6,5,150,0.6,random,43.793000000000006,43.793000000000006
c05_replay_150_0106_m0.6,5,150,0.6,edd,1.0,
c05_replay_150_0106_m0.6,5,150,0.6,wspt,1.0,
c05_replay_150_0106_m0.6,5,150,0.6,atc,1.0,
c05_replay_150_0106_m0.6,5,150,0.6,pfifo,1.0,
c05_replay_150_0106_m0.6,5,150,0.6,mor,1.0,
c05_replay_150_0106_m0.6,5,150,0.6,random,1.0,1.0
c05_replay_150_0104_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0104_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0104_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0104_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0104_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0104_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0103_m0.8,5,150,0.8,edd,43.45920000000001,
c05_replay_150_0103_m0.8,5,150,0.8,wspt,43.45920000000001,
c05_replay_150_0103_m0.8,5,150,0.8,atc,43.45920000000001,
c05_replay_150_0103_m0.8,5,150,0.8,pfifo,43.45920000000001,
c05_replay_150_0103_m0.8,5,150,0.8,mor,43.45920000000001,
c05_replay_150_0103_m0.8,5,150,0.8,random,43.45920000000001,43.45920000000001
c05_replay_150_0106,5,150,1.0,edd,1.0,
c05_replay_150_0106,5,150,1.0,wspt,1.0,
c05_replay_150_0106,5,150,1.0,atc,1.0,
c05_replay_150_0106,5,150,1.0,pfifo,1.0,
c05_replay_150_0106,5,150,1.0,mor,1.0,
c05_replay_150_0106,5,150,1.0,random,1.0,1.0
c05_replay_150_0106_m0.8,5,150,0.8,edd,1.0,
c05_replay_150_0106_m0.8,5,150,0.8,wspt,1.0,
c05_replay_150_0106_m0.8,5,150,0.8,atc,1.0,
c05_replay_150_0106_m0.8,5,150,0.8,pfifo,1.0,
