update,mean_train_return,dev_primary,dev_l0,dev_full,entropy,value_loss,seconds
0,-3.347732,447.589400,423.727650,483.303800,2.586966,1.842534,11.220
1,-3.451865,447.589400,423.727650,483.303800,2.739353,0.837394,5.189
2,-3.450397,447.589400,423.727650,483.303800,3.066456,1.292808,5.917
3,-3.075637,447.589400,423.727650,483.303800,2.559379,1.261674,4.948
4,-2.773443,447.589400,423.727650,483.303800,2.902627,2.303535,5.683
5,-5.738813,447.589400,423.727650,483.303800,2.835833,2.187972,5.723
6,-3.604067,447.589400,423.727650,483.303800,2.909070,1.413345,5.612
7,-3.005215,447.589400,423.727650,483.303800,2.890332,0.767213,5.739
8,-2.861673,447.589400,423.727650,483.303800,2.666340,1.406540,5.397
9,-6.580425,447.589400,423.727650,483.303800,3.064318,6.565413,5.298
10,-4.362232,447.589400,423.727650,483.303800,2.914791,2.148203,5.694
11,-3.936366,447.589400,423.727650,483.303800,2.936245,3.182199,5.595
12,-2.852638,447.589400,423.727650,483.303800,2.683032,2.945769,5.498
13,-4.795404,447.589400,423.727650,483.303800,2.718065,1.165169,4.930
14,-1.668615,447.589400,423.727650,483.303800,2.895478,2.928080,5.767
15,-5.122899,447.589400,423.727650,483.303800,2.814128,2.087589,5.531
16,-4.449895,447.589400,423.727650,483.303800,2.474930,1.536695,5.171
17,-2.976820,447.589400,423.727650,483.303800,2.836397,1.785010,5.705
18,-4.117935,447.589400,423.727650,483.303800,2.695310,1.920915,4.846
19,-3.300715,447.589400,423.727650,483.303800,2.929154,2.323331,5.493
20,-4.081718,467.712413,416.638200,485.951700,2.799183,1.894460,11.412
21,-1.710722,467.712413,416.638200,485.951700,2.946640,1.247497,5.448
22,-2.863577,467.712413,416.638200,485.951700,2.707478,1.905045,5.505
23,-5.298087,467.712413,416.638200,485.951700,2.698836,7.907105,5.305
24,-2.640761,467.712413,416.638200,485.951700,2.737232,14.411085,5.500
25,-3.780260,467.712413,416.638200,485.951700,2.564227,1.873038,5.382
26,-5.450840,467.712413,416.638200,485.951700,2.833310,1.783907,5.070
27,-3.423309,467.712413,416.638200,485.951700,2.737653,1.681426,5.429
28,-4.208874,467.712413,416.638200,485.951700,2.656320,2.638085,5.603
29,-3.909428,467.712413,416.638200,485.951700,2.956476,1.156807,5.680
30,-5.254135,467.712413,416.638200,485.951700,2.677952,3.131034,5.850
31,-5.881663,467.712413,416.638200,485.951700,2.706056,3.116108,5.042
32,-6.416042,467.712413,416.638200,485.951700,2.788147,2.548588,5.506
33,-4.459921,467.712413,416.638200,485.951700,2.632239,4.073456,5.345
34,-2.788248,467.712413,416.638200,485.951700,2.667370,1.267324,5.394
35,-2.637221,467.712413,416.638200,485.951700,2.853877,2.381452,5.410
36,-2.670088,467.712413,416.638200,485.951700,2.721446,1.193488,5.378
37,-3.767330,467.712413,416.638200,485.951700,2.710241,1.831441,5.242
38,-5.609364,467.712413,416.638200,485.951700,2.928198,3.740544,5.918
39,-4.190197,467.712413,416.638200,485.951700,2.622060,1.673236,5.388
40,-3.149893,499.611000,412.419450,579.756606,3.113964,1.717972,11.838
41,-3.406689,499.611000,412.419450,579.756606,2.664407,2.657199,5.629
42,-4.318624,499.611000,412.419450,579.756606,2.768176,1.904810,5.472
43,-2.718919,499.611000,412.419450,579.756606,2.950958,2.068443,5.805
44,-3.790461,499.611000,412.419450,579.756606,2.926122,1.464248,5.252
45,-3.368196,499.611000,412.419450,579.756606,2.865399,1.184075,5.492
46,-2.274638,499.611000,412.419450,579.756606,2.999284,0.962807,5.690
47,-3.034524,499.611000,412.419450,579.756606,2.773807,1.157521,5.675
48,-3.168134,499.611000,412.419450,579.756606,2.949024,2.562331,5.503
49,-2.940326,499.611000,412.419450,579.756606,2.986306,0.701563,5.988
50,-1.583650,499.611000,412.419450,579.756606,3.134782,1.076457,6.085
51,-5.071248,499.611000,412.419450,579.756606,2.671327,2.484784,5.257
52,-4.674438,499.611000,412.419450,579.756606,2.672139,2.868654,5.585
53,-3.984059,499.611000,412.419450,579.756606,2.809567,1.530381,5.136
54,-2.818661,499.611000,412.419450,579.756606,3.035393,1.858511,5.428
55,-5.038582,499.611000,412.419450,579.756606,2.645651,3.102854,5.381
56,-2.278257,499.611000,412.419450,579.756606,2.803130,1.034143,5.679
57,-2.696320,499.611000,412.419450,579.756606,3.050698,1.537236,5.812
58,-6.218877,499.611000,412.419450,579.756606,2.908587,2.019938,5.484
59,-3.156511,499.611000,412.419450,579.756606,2.916460,3.799694,5.619
60,-3.711476,480.457888,421.869450,483.705738,2.628916,2.003553,11.303
61,-2.953789,480.457888,421.869450,483.705738,2.602056,1.530993,4.872
62,-3.040492,480.457888,421.869450,483.705738,2.874141,2.744126,5.663
63,-4.055417,480.457888,421.869450,483.705738,3.189106,2.238178,5.984
64,-2.614025,480.457888,421.869450,483.705738,2.767276,2.451512,5.661
65,-3.199337,480.457888,421.869450,483.705738,2.954715,1.094692,5.791
66,-3.205926,480.457888,421.869450,483.705738,2.906447,1.419487,5.357
67,-4.589602,480.457888,421.869450,483.705738,3.055108,2.245935,5.841
68,-2.988646,480.457888,421.869450,483.705738,2.944838,1.695753,5.434
69,-1.552702,480.457888,421.869450,483.705738,2.546139,1.774592,5.433
70,-3.711315,480.457888,421.869450,483.705738,2.746997,2.632926,5.436
71,-4.091450,480.457888,421.869450,483.705738,2.591349,2.682957,5.089
72,-2.637404,480.457888,421.869450,483.705738,2.828777,1.011333,5.508
73,-2.221067,480.457888,421.869450,483.705738,2.744108,1.891702,5.503
74,-4.249764,480.457888,421.869450,483.705738,2.771307,2.920536,5.888
75,-1.454887,480.457888,421.869450,483.705738,2.817385,1.256460,5.270
76,-2.691661,480.457888,421.869450,483.705738,2.787410,1.442281,5.346
77,-3.869332,480.457888,421.869450,483.705738,2.945925,2.261898,5.695
78,-5.459868,480.457888,421.869450,483.705738,2.615033,1.634456,5.483
79,-2.875017,480.457888,421.869450,483.705738,2.435906,1.670776,4.878
